Wavelength,B30R150,Energy B30R150,B30R150FR30,Energy B30R150FR30,R180FR30,Energy R180FR30,B90R90,Energy B90R90,B90R90FR30,Energy B90R90FR30,B180FR30,Energy B180FR30,B90R90 (2),Energy B90R90 (2),B90R90FR30 (2),Energy B90R90FR30 (2),B90R90FR75,Energy B90R90FR75,B180R180,Energy B180R180,B180R180FR30,Energy B180R180FR30,B180R180FR75,Energy B180R180FR75,B60R120,Energy B60R120,B40G20R120,Energy B40G20R120,B20G40R120,Energy B20G40R120,G60R120,Energy G60R120,B40R120FR20,Energy B40R120FR20,B20R120FR40,Energy B20R120FR40,R120FR60,Energy R120FR60,B20G20R120FR20,Energy B20G20R120FR20,Warm white,Energy Warm white,Equalized white,Energy Equalized white,R180,Energy R180,G60R120 (2),Energy G60R120 (2),B20R160,Energy B20R160,B20G60R100,Energy B20G60R100,B60R120 (2),Energy B60R120 (2),B60G60R60,Energy B60G60R60,B100R80,Energy B100R80,B100G60R20,Energy B100G60R20,EQW180,Energy EQW180,EQW100B10R70,Energy EQW100B10R70,EQW100B50R30,Energy EQW100B50R30,WW180,Energy WW180,Greenhouse Wavelength,Greenhouse,Energy Greenhouse
623,0.276907,0.05320765,0.256188,0.049226496,0.298126,0.057284878,0.170145,0.032693343,0.151878,0.029183341,0.0055903,0.001074176,0.165664286,0.031832374,0.159128571,0.030576537,0.31219,0.059987274,0.326988571,0.062830818,0.147485714,0.028339364,0.303448571,0.05830761,0.159015714,0.030554852,0.168022857,0.032285573,0.171024286,0.032862298,0.169032857,0.032479645,0.164852857,0.031676458,0.16709,0.032106325,0.156802857,0.030129652,0.164872857,0.031680301,1.163254286,0.223519183,0.735294286,0.141286716,0.006217214,0.001298881,0.159205714,0.033260764,0.006950429,0.001452062,0.139118571,0.02906422,0.006003543,0.001254242,0.133992857,0.027993372,0.003698486,0.000772676,0.150388571,0.031418714,1.222328571,0.255365091,0.660504286,0.137990505,0.665007143,0.138931228,0.599901429,0.125329544,405.99,0.451389039,0.133091129
624,0.303077,0.058142885,0.280084,0.053731863,0.329183,0.063151111,0.187105,0.035894589,0.167538,0.032140818,0.00660209,0.001266558,0.180915714,0.034707225,0.17377,0.033336377,0.342704286,0.065745061,0.359402857,0.068948548,0.160561429,0.030802419,0.3324,0.063768267,0.17365,0.033313356,0.18369,0.035239449,0.186258571,0.035732209,0.183477143,0.035198614,0.179974286,0.034526619,0.182698571,0.035049252,0.172438571,0.033080953,0.180635714,0.034653509,1.172227143,0.22488235,0.72474,0.13903554,0.006601286,0.001376717,0.150642857,0.031417009,0.007659643,0.001597441,0.13093,0.027305835,0.006262586,0.001306081,0.126465714,0.026374795,0.004607229,0.000960851,0.141814286,0.029575785,1.216328571,0.253668886,0.657774286,0.137180754,0.662595714,0.138186277,0.604711429,0.12611434,406.57,0.453276963,0.133457122
625,0.331474,0.063488876,0.307524,0.058901612,0.359432,0.068843812,0.204644,0.039196491,0.182714,0.034996128,0.00489875,0.000938282,0.200847143,0.03846926,0.191657143,0.036709053,0.37678,0.072166561,0.395414286,0.075735679,0.175981429,0.033706605,0.364922857,0.069895503,0.1894,0.036276731,0.200668571,0.038435057,0.203645714,0.039005284,0.200341429,0.038372398,0.195785714,0.037499819,0.198847143,0.03808619,0.188492857,0.036102981,0.198211429,0.037964428,1.181478571,0.22629451,0.7137,0.136698537,0.005884286,0.001225051,0.142755714,0.029720345,0.008803457,0.001832794,0.123528571,0.025717442,0.007315243,0.001522962,0.119637143,0.024907284,0.004720657,0.000982795,0.133414286,0.027775551,1.210785714,0.252073755,0.655247143,0.136416052,0.659805714,0.137365102,0.609785714,0.126951427,407.15,0.455408908,0.133893816
626,0.36227,0.069276546,0.335316,0.064122158,0.393148,0.075181316,0.223416,0.042723628,0.199079,0.038069687,0.00451463,0.000863328,0.219071429,0.04189282,0.20904,0.039974519,0.410061429,0.078415655,0.428922857,0.082022508,0.192921429,0.03689218,0.396227143,0.075770138,0.20925,0.040014677,0.221167143,0.042293581,0.223925714,0.0428211,0.220282857,0.04212448,0.213695714,0.040864827,0.216657143,0.041431138,0.206104286,0.039413125,0.216907143,0.041478946,1.189268571,0.227422692,0.702485714,0.134335671,0.006066429,0.001260778,0.134692857,0.027993053,0.009444329,0.001962803,0.11664,0.02424115,0.007966543,0.001655677,0.113545571,0.023598038,0.005197143,0.001080116,0.125632857,0.026110124,1.204957143,0.250424782,0.652454286,0.135598783,0.657098571,0.136563999,0.614614286,0.127734542,407.74,0.456457299,0.134007861
627,0.397998,0.075987391,0.366099,0.069897105,0.429935,0.082084933,0.244982,0.046772956,0.21852,0.041720724,0.00478866,0.00091427,0.241585714,0.046124524,0.231437143,0.044186917,0.448085714,0.085550341,0.46822,0.08939446,0.211197143,0.040322615,0.431334286,0.08235209,0.227192857,0.043376581,0.240875714,0.045988968,0.24273,0.046342995,0.239035714,0.045637667,0.232894286,0.044465121,0.236418571,0.045137992,0.224374286,0.042838448,0.236324286,0.045119991,1.19751,0.228633463,0.691084286,0.131944613,0.006546071,0.001358104,0.126825714,0.026312353,0.008901886,0.001846862,0.109939286,0.02280895,0.008914814,0.001849544,0.107321571,0.022265856,0.005225657,0.00108416,0.118355714,0.024555094,1.199085714,0.248772633,0.648895714,0.134625484,0.654054286,0.135695726,0.62021,0.1286741,408.33,0.46025519,0.134927615
628,0.436743,0.083251966,0.400319,0.076308821,0.471952,0.089963506,0.269531,0.051378008,0.240806,0.045902448,0.00442512,0.000843517,0.265812857,0.050669256,0.254038571,0.048424841,0.490371429,0.093474618,0.512825714,0.097754855,0.230497143,0.043937373,0.472162857,0.0900037,0.247781429,0.047232104,0.261088571,0.049768712,0.262842857,0.050103114,0.257578571,0.049099636,0.25199,0.048034342,0.256981429,0.048985809,0.243494286,0.046414889,0.254584286,0.048528865,1.204808571,0.229660651,0.680048571,0.129630882,0.006722486,0.001392292,0.120543857,0.024965797,0.009702914,0.002009567,0.104437,0.021629911,0.010020229,0.002075286,0.101680571,0.021059028,0.005537714,0.001146914,0.111037143,0.022996865,1.193214286,0.247126201,0.64603,0.133799051,0.650487143,0.134722169,0.626502857,0.129754791,408.92,0.464565019,0.135994577
629,0.480572,0.091461012,0.437779,0.083316778,0.519112,0.098795829,0.296033,0.056340107,0.263182,0.050088004,0.00390518,0.000743222,0.29171,0.055517367,0.27796,0.052900508,0.536224286,0.102052587,0.559158571,0.106417372,0.252338571,0.048024315,0.516224286,0.098246248,0.271141429,0.051602818,0.284371429,0.054120712,0.285628571,0.054359968,0.280327143,0.053351016,0.277592857,0.052830635,0.281218571,0.05352067,0.266377143,0.050696094,0.278148571,0.052936397,1.211162857,0.230504859,0.66873,0.127270675,0.007033386,0.001454166,0.114493857,0.023671829,0.011385371,0.002353948,0.098789571,0.020424937,0.010699614,0.002212166,0.096898286,0.02003391,0.005568786,0.001151357,0.104570571,0.02162017,1.187142857,0.245444105,0.643598571,0.133065262,0.646715714,0.133709738,0.633398571,0.130956392,409.51,0.46764773,0.136699761
630,0.526344,0.100013198,0.47845,0.090912625,0.56863,0.108048168,0.324964,0.061747999,0.288006,0.054725429,0.00478662,0.000909529,0.32085,0.060966278,0.305982857,0.058141299,0.586021429,0.111352798,0.60933,0.115781774,0.276501429,0.052539389,0.562838571,0.10694771,0.298998571,0.056814181,0.311348571,0.059160865,0.31439,0.059738782,0.306707143,0.058278924,0.302874286,0.057550624,0.30734,0.058399177,0.290274286,0.055156437,0.302362857,0.057453445,1.217015714,0.231251108,0.656298571,0.124706502,0.008428043,0.00173951,0.108178286,0.02232751,0.011273571,0.002326814,0.092745429,0.019142238,0.010889129,0.002247467,0.092317,0.019053812,0.005686657,0.0011737,0.098631286,0.020357052,1.181,0.243753068,0.640135714,0.132121121,0.642742857,0.132659224,0.640015714,0.132096354,410.11,0.469554651,0.13705637
631,0.580854,0.110195995,0.523265,0.09927057,0.623593,0.118304172,0.35782,0.067883377,0.316638,0.060070585,0.00517381,0.000981543,0.35413,0.067183333,0.337241429,0.063979339,0.6446,0.122289488,0.667927143,0.126714968,0.302515714,0.057391393,0.6187,0.117375902,0.328227143,0.062269205,0.339965714,0.064496173,0.341981429,0.064878582,0.335055714,0.063564679,0.33041,0.062683323,0.335067143,0.063566847,0.317941429,0.060317863,0.331078571,0.06281016,1.223062857,0.232031851,0.645825714,0.122522023,0.009470271,0.001951257,0.102973571,0.0212167,0.010567757,0.002177383,0.088018143,0.01813528,0.011801257,0.002431534,0.088657714,0.018267057,0.005608229,0.001155521,0.093312286,0.019226086,1.174314286,0.241956001,0.636852857,0.131217318,0.639301429,0.131721822,0.647007143,0.133309509,410.7,0.473119467,0.137898503
632,0.638508,0.120942085,0.57227,0.108395708,0.684841,0.129718184,0.394636,0.074749417,0.348363,0.065984682,0.0055282,0.001047116,0.389658571,0.073806624,0.369065714,0.069906058,0.708865714,0.134268791,0.732715714,0.138786305,0.330621429,0.062624188,0.679108571,0.128632384,0.360678571,0.068317419,0.3745,0.070935385,0.375104286,0.071049845,0.367837143,0.069673349,0.361342857,0.068443244,0.366561429,0.069431712,0.348262857,0.065965714,0.363812857,0.068911095,1.228997143,0.232788746,0.635797143,0.120428612,0.009287157,0.00191024,0.097498286,0.020054054,0.010625886,0.002185598,0.083798286,0.017236153,0.013075143,0.002689377,0.083893429,0.017255722,0.005493486,0.001129934,0.087876571,0.018075,1.1667,0.239974116,0.633085714,0.130217009,0.6357,0.130754732,0.654238571,0.13456786,411.31,0.479448128,0.139535848
